class,precision,recall,f1,support
backdoor,1.0,0.99925,0.9996248593222459,4000.0
ddos,0.9894153225806451,0.9815,0.9854417670682731,4000.0
dos,0.9861947791164659,0.98225,0.9842184368737475,4000.0
injection,0.9857433808553971,0.968,0.9767911200807265,4000.0
mitm,0.7021276595744681,0.7894736842105263,0.7432432432432432,209.0
normal,0.9967056004791854,0.9984,0.9975520807313784,10000.0
password,0.9942384769539078,0.99225,0.9932432432432432,4000.0
ransomware,1.0,0.999,0.9994997498749375,4000.0
scanning,0.9870388833499502,0.99,0.9885172241637543,4000.0
xss,0.9715686274509804,0.991,0.9811881188118812,4000.0
