class,precision,recall,f1,support
backdoor,0.9583333333333334,0.00575,0.01143141153081511,4000.0
ddos,0.8297969427332877,0.90925,0.8677084575927472,4000.0
dos,0.8861082737487231,0.8675,0.8767054067710965,4000.0
injection,0.9122807017543859,0.026,0.05055906660184735,4000.0
mitm,0.21428571428571427,0.05741626794258373,0.09056603773584905,209.0
normal,0.4196654840344653,0.9936,0.590093835372372,10000.0
password,1.0,0.0525,0.0997624703087886,4000.0
ransomware,0.19047619047619047,0.079,0.11168050892383813,4000.0
scanning,0.3531357177853993,0.72075,0.47402170338704375,4000.0
xss,1.0,0.00175,0.0034938857000249564,4000.0
