class,precision,recall,f1,support
backdoor,0.9649927571221633,0.99925,0.9818226479980349,4000.0
ddos,0.9470529470529471,0.948,0.9475262368815592,4000.0
dos,0.9153717427683481,0.95725,0.9358426005132592,4000.0
injection,0.9507004310344828,0.88225,0.9151970954356846,4000.0
mitm,0.5797101449275363,0.3827751196172249,0.4610951008645533,209.0
normal,0.9912764464052943,0.9886,0.9899364141591148,10000.0
password,0.9431674665319525,0.9335,0.9383088327679356,4000.0
ransomware,0.9823602484472049,0.9885,0.9854205607476636,4000.0
scanning,0.9770911028236547,0.917,0.9460923394377095,4000.0
xss,0.8606158833063209,0.92925,0.8936170212765957,4000.0
