class,precision,recall,f1,support
backdoor,1.0,0.99925,0.9996248593222459,4000.0
ddos,0.9854198089492208,0.98,0.9827024316871397,4000.0
dos,0.9869281045751634,0.9815,0.984206568062171,4000.0
injection,0.9768611670020121,0.971,0.9739217652958877,4000.0
mitm,0.7106382978723405,0.7990430622009569,0.7522522522522522,209.0
normal,0.9970020985310283,0.9977,0.9973509271754886,10000.0
password,0.9927536231884058,0.99325,0.9930017495626093,4000.0
ransomware,0.9997498123592694,0.999,0.9993747655370764,4000.0
scanning,0.9872881355932204,0.99025,0.9887668497254118,4000.0
xss,0.9761609138316365,0.98275,0.9794443752335866,4000.0
