class,precision,recall,f1,support
backdoor,0.7075287865367582,0.9985,0.8282011404872991,4000.0
ddos,0.9217236104028557,0.90375,0.9126483211310276,4000.0
dos,0.990770901194354,0.9125,0.9500260281103592,4000.0
injection,0.7751091703056768,0.71,0.7411273486430062,4000.0
mitm,0.16,0.937799043062201,0.2733612273361227,209.0
normal,0.9910313901345291,0.8398,0.9091696438237523,10000.0
password,0.7057535959974984,0.56425,0.6271186440677966,4000.0
ransomware,0.7081780741321828,0.90275,0.7937135949005385,4000.0
scanning,0.8763551128039848,0.74775,0.8069607446377984,4000.0
xss,0.8574002574002574,0.83275,0.8448953709575142,4000.0
